incident_id,opened_at,resolved_at,short_description,category,priority,assignment_group,state,reopen_count
INC0001,2025-11-11 15:39,2025-11-12 13:30,Printer paper jam recurring,hardware,2-High,Desktop Support,Closed,0
INC0002,2026-01-17 23:27,2026-01-18 7:52,Adobe Acrobat license expired error,Software,3-Moderate,Application Support - ERP,Closed,0
INC0003,2025-12-28 12:56,2025-12-30 19:39,Guest WiFi authentication failing,Network,3-Moderate,Service Desk - Tier 1,Closed,0
INC0004,2025-12-06 0:04,2025-12-08 14:49,Firewall blocking required application port,Network,3-Moderate,Application Support - CRM,Closed,0
INC0005,2026-03-04 11:33,2026-03-05 6:30,Guest WiFi authentication failing,Network,3-Moderate,Network Operations,Resolved,1
INC0006,2025-12-06 5:26,2025-12-07 11:47,Antivirus blocking legitimate application,Software,4-Low,Security Operations,Resolved,0
INC0007,2025-12-13 4:25,2025-12-30 6:35,Failover cluster node not rejoining,Database,4-Low,Database Administration,Closed,3
INC0008,2026-02-21 14:06,2026-02-22 0:15,Tablespace reaching capacity threshold,Database,1-Critical,End User Computing,Closed,1
INC0009,2026-03-17 13:20,,Docking station not detecting external display,Hardware,2-High,Storage & Backup,On Hold,0
INC0010,2026-04-10 19:46,,Cannot reach internal SharePoint site,Network,3-Moderate,End User Computing,On Hold,0
INC0011,2026-02-18 0:00,2026-02-18 11:29,Laptop will not power on,Hardware,2-High,Windows Server Team,Resolved,0
INC0012,2025-12-21 11:07,2025-12-22 18:40,Monitor flickering intermittently,Hardware,4-Low,End User Computing,Resolved,0
INC0013,2025-12-13 5:15,2025-12-16 2:58,Chrome browser freezing on launch,Software,3-Moderate,Linux Server Team,Closed,0
INC0014,2025-12-05 9:09,2025-12-02 12:37,Unable to connect to corporate WiFi,Network,3-Moderate,Network Operations,Closed,1
INC0015,2025-12-03 8:24,2025-12-04 2:52,Firewall blocking required application port,Network,2-High,Cloud Infrastructure,Resolved,0
INC0016,2026-04-08 11:46,2026-04-11 10:45,Hard drive making clicking noise,Hardware,3-Moderate,Storage & Backup,Closed,0
INC0017,2025-12-15 20:06,2025-12-16 8:56,Excel file corrupted on save,Software,3-Moderate,Service Desk - Tier 1,Closed,3
INC0018,2025-11-24 1:03,2025-11-28 15:42,Laptop will not power on,Hardware,4-Low,End User Computing,Resolved,0
INC0019,2026-03-23 20:43,2026-03-28 6:29,Scheduled maintenance plan did not run,Database,3-Moderate,Desktop Support,Resolved,0
INC0020,2025-11-22 7:41,,Laptop will not power on,Hardware,3-Moderate,End User Computing,On Hold,0
INC0021,2026-01-09 3:43,,Excel file corrupted on save,Software,1-Critical,End User Computing,On Hold,0
